"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","167/4660","498/21338",0.335341365461847,1.5355180378165,6.39186464895588,8.05208578973481e-10,5.26525889790759e-06,4.45407482369015e-06,"ENSG00000154839/ENSG00000126216/ENSG00000159055/ENSG00000147874/ENSG00000179008/ENSG00000164828/ENSG00000196074/ENSG00000165480/ENSG00000122952/ENSG00000070950/ENSG00000119541/ENSG00000149636/ENSG00000099910/ENSG00000198900/ENSG00000173473/ENSG00000094804/ENSG00000164109/ENSG00000119684/ENSG00000164961/ENSG00000175470/ENSG00000179051/ENSG00000025770/ENSG00000122390/ENSG00000139687/ENSG00000154473/ENSG00000163611/ENSG00000155229/ENSG00000118007/ENSG00000087586/ENSG00000176248/ENSG00000156831/ENSG00000112029/ENSG00000196924/ENSG00000261456/ENSG00000118496/ENSG00000143924/ENSG00000148335/ENSG00000091436/ENSG00000244588/ENSG00000138160/ENSG00000175643/ENSG00000168070/ENSG00000138411/ENSG00000085415/ENSG00000101639/ENSG00000062650/ENSG00000099956/ENSG00000178460/ENSG00000153107/ENSG00000137947/ENSG00000166974/ENSG00000133863/ENSG00000075624/ENSG00000186185/ENSG00000082014/ENSG00000131165/ENSG00000176623/ENSG00000171772/ENSG00000161609/ENSG00000197102/ENSG00000108469/ENSG00000151725/ENSG00000175305/ENSG00000166579/ENSG00000185721/ENSG00000054796/ENSG00000101350/ENSG00000143194/ENSG00000196230/ENSG00000128159/ENSG00000163322/ENSG00000147457/ENSG00000070770/ENSG00000144535/ENSG00000164754/ENSG00000099385/ENSG00000188313/ENSG00000002822/ENSG00000037042/ENSG00000083937/ENSG00000105127/ENSG00000166451/ENSG00000141552/ENSG00000011243/ENSG00000187531/ENSG00000170312/ENSG00000131462/ENSG00000078487/ENSG00000161860/ENSG00000137812/ENSG00000106635/ENSG00000186166/ENSG00000104884/ENSG00000176108/ENSG00000198901/ENSG00000121957/ENSG00000067560/ENSG00000079616/ENSG00000204463/ENSG00000142856/ENSG00000058729/ENSG00000101972/ENSG00000096063/ENSG00000063978/ENSG00000215301/ENSG00000141255/ENSG00000143452/ENSG00000214367/ENSG00000086065/ENSG00000102901/ENSG00000148773/ENSG00000137822/ENSG00000204371/ENSG00000167513/ENSG00000130724/ENSG00000130479/ENSG00000137497/ENSG00000161888/ENSG00000112941/ENSG00000182923/ENSG00000138092/ENSG00000107949/ENSG00000057468/ENSG00000276043/ENSG00000196510/ENSG00000151503/ENSG00000177602/ENSG00000213024/ENSG00000178222/ENSG00000066923/ENSG00000049618/ENSG00000153147/ENSG00000154429/ENSG00000103275/ENSG00000132341/ENSG00000072609/ENSG00000180198/ENSG00000036257/ENSG00000169228/ENSG00000084764/ENSG00000133884/ENSG00000127616/ENSG00000167842/ENSG00000130695/ENSG00000058804/ENSG00000040275/ENSG00000134057/ENSG00000145700/ENSG00000163808/ENSG00000110104/ENSG00000068796/ENSG00000159374/ENSG00000110987/ENSG00000149311/ENSG00000113810/ENSG00000115561/ENSG00000076242/ENSG00000074054/ENSG00000164256/ENSG00000134982/ENSG00000116213/ENSG00000055917/ENSG00000116670/ENSG00000121152/ENSG00000153187/ENSG00000070831/ENSG00000117724",167
"GO:0003002","regionalization","157/4660","475/21338",0.330526315789474,1.51347007002485,5.98220390233133,7.93196256953061e-09,2.20753861099296e-05,1.86743754489549e-05,"ENSG00000175387/ENSG00000125845/ENSG00000126778/ENSG00000169126/ENSG00000137834/ENSG00000103126/ENSG00000187535/ENSG00000120697/ENSG00000131668/ENSG00000136944/ENSG00000128918/ENSG00000154764/ENSG00000095587/ENSG00000054598/ENSG00000156925/ENSG00000099942/ENSG00000164066/ENSG00000165556/ENSG00000103241/ENSG00000153266/ENSG00000171843/ENSG00000185551/ENSG00000172819/ENSG00000087586/ENSG00000198719/ENSG00000107882/ENSG00000038295/ENSG00000163064/ENSG00000090932/ENSG00000101752/ENSG00000142700/ENSG00000173947/ENSG00000184058/ENSG00000122735/ENSG00000179981/ENSG00000188095/ENSG00000154099/ENSG00000166596/ENSG00000148400/ENSG00000010361/ENSG00000162782/ENSG00000141646/ENSG00000131873/ENSG00000178234/ENSG00000140479/ENSG00000139352/ENSG00000107872/ENSG00000138136/ENSG00000082014/ENSG00000135111/ENSG00000152093/ENSG00000205336/ENSG00000179886/ENSG00000135541/ENSG00000125798/ENSG00000101350/ENSG00000114739/ENSG00000182197/ENSG00000134245/ENSG00000138795/ENSG00000100628/ENSG00000165588/ENSG00000136574/ENSG00000160602/ENSG00000204104/ENSG00000106689/ENSG00000106571/ENSG00000118762/ENSG00000136698/ENSG00000128610/ENSG00000123977/ENSG00000074047/ENSG00000138002/ENSG00000121989/ENSG00000273706/ENSG00000168014/ENSG00000166823/ENSG00000187821/ENSG00000164690/ENSG00000164093/ENSG00000106004/ENSG00000122592/ENSG00000078399/ENSG00000197121/ENSG00000139445/ENSG00000105997/ENSG00000196116/ENSG00000186063/ENSG00000168621/ENSG00000112559/ENSG00000203877/ENSG00000109906/ENSG00000170549/ENSG00000129514/ENSG00000164161/ENSG00000176788/ENSG00000075891/ENSG00000136754/ENSG00000004975/ENSG00000107187/ENSG00000165506/ENSG00000164736/ENSG00000099139/ENSG00000100811/ENSG00000196584/ENSG00000185920/ENSG00000064309/ENSG00000204815/ENSG00000198576/ENSG00000102977/ENSG00000107779/ENSG00000125730/ENSG00000154485/ENSG00000166949/ENSG00000003137/ENSG00000175197/ENSG00000141519/ENSG00000128710/ENSG00000175879/ENSG00000251493/ENSG00000143768/ENSG00000170561/ENSG00000177508/ENSG00000089094/ENSG00000007372/ENSG00000162992/ENSG00000135547/ENSG00000083093/ENSG00000039139/ENSG00000163913/ENSG00000162337/ENSG00000123364/ENSG00000197757/ENSG00000078246/ENSG00000198353/ENSG00000167646/ENSG00000173917/ENSG00000260027/ENSG00000170689/ENSG00000181965/ENSG00000074266/ENSG00000108379/ENSG00000168646/ENSG00000121068/ENSG00000149311/ENSG00000163513/ENSG00000061676/ENSG00000107404/ENSG00000118257/ENSG00000185630/ENSG00000138083/ENSG00000157933/ENSG00000158286/ENSG00000173673/ENSG00000069812/ENSG00000143147/ENSG00000009709",157
"GO:0098813","nuclear chromosome segregation","128/4660","372/21338",0.344086021505376,1.57555955512483,5.91958961551054,1.35743462930987e-08,2.20753861099296e-05,1.86743754489549e-05,"ENSG00000154839/ENSG00000179008/ENSG00000164828/ENSG00000196074/ENSG00000165480/ENSG00000122952/ENSG00000119541/ENSG00000149636/ENSG00000099910/ENSG00000173473/ENSG00000094804/ENSG00000164109/ENSG00000119684/ENSG00000164961/ENSG00000179051/ENSG00000025770/ENSG00000139687/ENSG00000154473/ENSG00000163611/ENSG00000118007/ENSG00000087586/ENSG00000176248/ENSG00000156831/ENSG00000112029/ENSG00000196924/ENSG00000261456/ENSG00000143924/ENSG00000091436/ENSG00000138160/ENSG00000175643/ENSG00000168070/ENSG00000138411/ENSG00000085415/ENSG00000101639/ENSG00000062650/ENSG00000099956/ENSG00000178460/ENSG00000153107/ENSG00000133863/ENSG00000075624/ENSG00000186185/ENSG00000082014/ENSG00000131165/ENSG00000176623/ENSG00000171772/ENSG00000161609/ENSG00000197102/ENSG00000175305/ENSG00000185721/ENSG00000054796/ENSG00000101350/ENSG00000143194/ENSG00000163322/ENSG00000147457/ENSG00000144535/ENSG00000164754/ENSG00000099385/ENSG00000002822/ENSG00000037042/ENSG00000083937/ENSG00000105127/ENSG00000141552/ENSG00000011243/ENSG00000187531/ENSG00000170312/ENSG00000131462/ENSG00000078487/ENSG00000161860/ENSG00000137812/ENSG00000106635/ENSG00000176108/ENSG00000198901/ENSG00000067560/ENSG00000079616/ENSG00000204463/ENSG00000058729/ENSG00000101972/ENSG00000141255/ENSG00000143452/ENSG00000086065/ENSG00000204371/ENSG00000167513/ENSG00000130724/ENSG00000130479/ENSG00000137497/ENSG00000161888/ENSG00000112941/ENSG00000107949/ENSG00000057468/ENSG00000276043/ENSG00000196510/ENSG00000151503/ENSG00000177602/ENSG00000213024/ENSG00000178222/ENSG00000066923/ENSG00000049618/ENSG00000153147/ENSG00000154429/ENSG00000132341/ENSG00000072609/ENSG00000180198/ENSG00000036257/ENSG00000169228/ENSG00000133884/ENSG00000127616/ENSG00000167842/ENSG00000058804/ENSG00000040275/ENSG00000134057/ENSG00000145700/ENSG00000163808/ENSG00000068796/ENSG00000159374/ENSG00000110987/ENSG00000149311/ENSG00000113810/ENSG00000115561/ENSG00000076242/ENSG00000074054/ENSG00000164256/ENSG00000134982/ENSG00000116213/ENSG00000116670/ENSG00000121152/ENSG00000153187/ENSG00000070831/ENSG00000117724",128
"GO:0001701","in utero embryonic development","156/4660","475/21338",0.328421052631579,1.5038301332731,5.86989342773686,1.43458461857274e-08,2.20753861099296e-05,1.86743754489549e-05,"ENSG00000101773/ENSG00000175387/ENSG00000128342/ENSG00000125845/ENSG00000100220/ENSG00000189306/ENSG00000100324/ENSG00000125977/ENSG00000101115/ENSG00000101144/ENSG00000174405/ENSG00000103126/ENSG00000033170/ENSG00000157483/ENSG00000162104/ENSG00000141448/ENSG00000122691/ENSG00000054598/ENSG00000136826/ENSG00000139842/ENSG00000129562/ENSG00000131149/ENSG00000150961/ENSG00000165556/ENSG00000103241/ENSG00000137845/ENSG00000104375/ENSG00000284194/ENSG00000185551/ENSG00000106397/ENSG00000172534/ENSG00000100345/ENSG00000163637/ENSG00000105771/ENSG00000146374/ENSG00000105220/ENSG00000120063/ENSG00000176986/ENSG00000185122/ENSG00000172216/ENSG00000072135/ENSG00000155666/ENSG00000101752/ENSG00000132376/ENSG00000142065/ENSG00000183337/ENSG00000149308/ENSG00000099956/ENSG00000183508/ENSG00000165891/ENSG00000063245/ENSG00000163904/ENSG00000071655/ENSG00000136280/ENSG00000140691/ENSG00000148400/ENSG00000148926/ENSG00000254999/ENSG00000116833/ENSG00000167136/ENSG00000141646/ENSG00000112561/ENSG00000135111/ENSG00000108175/ENSG00000132478/ENSG00000136450/ENSG00000166579/ENSG00000101945/ENSG00000076826/ENSG00000034053/ENSG00000138795/ENSG00000100271/ENSG00000119698/ENSG00000184916/ENSG00000171223/ENSG00000071246/ENSG00000106571/ENSG00000107957/ENSG00000256525/ENSG00000118762/ENSG00000130283/ENSG00000161714/ENSG00000136448/ENSG00000177885/ENSG00000101294/ENSG00000125107/ENSG00000112578/ENSG00000168014/ENSG00000197063/ENSG00000167642/ENSG00000164093/ENSG00000107282/ENSG00000107485/ENSG00000125931/ENSG00000142871/ENSG00000135503/ENSG00000104884/ENSG00000137413/ENSG00000140299/ENSG00000112559/ENSG00000171848/ENSG00000171316/ENSG00000153815/ENSG00000124762/ENSG00000189339/ENSG00000135912/ENSG00000152684/ENSG00000143452/ENSG00000065978/ENSG00000165506/ENSG00000142731/ENSG00000164736/ENSG00000177963/ENSG00000185650/ENSG00000196584/ENSG00000185920/ENSG00000130726/ENSG00000152601/ENSG00000133026/ENSG00000105656/ENSG00000146648/ENSG00000182185/ENSG00000142208/ENSG00000107077/ENSG00000037474/ENSG00000107779/ENSG00000250120/ENSG00000108641/ENSG00000166949/ENSG00000008710/ENSG00000131446/ENSG00000112715/ENSG00000184557/ENSG00000088038/ENSG00000172845/ENSG00000105993/ENSG00000135547/ENSG00000118513/ENSG00000183734/ENSG00000083093/ENSG00000245848/ENSG00000111254/ENSG00000036257/ENSG00000181027/ENSG00000145741/ENSG00000197905/ENSG00000134057/ENSG00000167244/ENSG00000179348/ENSG00000198730/ENSG00000163513/ENSG00000061676/ENSG00000163166/ENSG00000162909/ENSG00000095002/ENSG00000066056",156
"GO:0007098","centrosome cycle","67/4660","162/21338",0.41358024691358,1.89377152545965,6.03600665235398,1.68797875133274e-08,2.20753861099296e-05,1.86743754489549e-05,"ENSG00000044459/ENSG00000147874/ENSG00000119541/ENSG00000150636/ENSG00000170248/ENSG00000058272/ENSG00000104375/ENSG00000178184/ENSG00000163611/ENSG00000087586/ENSG00000159069/ENSG00000124171/ENSG00000160469/ENSG00000110172/ENSG00000138160/ENSG00000101639/ENSG00000170037/ENSG00000103274/ENSG00000162063/ENSG00000131165/ENSG00000166579/ENSG00000101350/ENSG00000126001/ENSG00000118762/ENSG00000083937/ENSG00000164087/ENSG00000168014/ENSG00000170312/ENSG00000165325/ENSG00000186166/ENSG00000140299/ENSG00000239306/ENSG00000126756/ENSG00000008128/ENSG00000214367/ENSG00000169136/ENSG00000086065/ENSG00000136811/ENSG00000142731/ENSG00000108395/ENSG00000007047/ENSG00000196584/ENSG00000130724/ENSG00000204843/ENSG00000248333/ENSG00000182923/ENSG00000168944/ENSG00000176155/ENSG00000181163/ENSG00000131437/ENSG00000213024/ENSG00000164118/ENSG00000058453/ENSG00000079805/ENSG00000149548/ENSG00000130695/ENSG00000135372/ENSG00000170004/ENSG00000111554/ENSG00000163808/ENSG00000115561/ENSG00000117155/ENSG00000116717/ENSG00000011523/ENSG00000178104/ENSG00000135835/ENSG00000155380",67
"GO:0006302","double-strand break repair","124/4660","361/21338",0.343490304709141,1.57283178581194,5.80225314429583,2.54670084249167e-08,2.77547946817551e-05,2.34787946092873e-05,"ENSG00000157540/ENSG00000101773/ENSG00000160207/ENSG00000179008/ENSG00000174405/ENSG00000140464/ENSG00000093009/ENSG00000122691/ENSG00000102241/ENSG00000042088/ENSG00000005156/ENSG00000197275/ENSG00000107290/ENSG00000173473/ENSG00000170430/ENSG00000185787/ENSG00000101596/ENSG00000173120/ENSG00000123562/ENSG00000175792/ENSG00000156831/ENSG00000011258/ENSG00000101347/ENSG00000244588/ENSG00000101868/ENSG00000185122/ENSG00000111802/ENSG00000175643/ENSG00000168070/ENSG00000120616/ENSG00000073050/ENSG00000033800/ENSG00000099956/ENSG00000178460/ENSG00000225830/ENSG00000129484/ENSG00000156384/ENSG00000039650/ENSG00000133863/ENSG00000075624/ENSG00000082014/ENSG00000100796/ENSG00000161609/ENSG00000108469/ENSG00000204991/ENSG00000054796/ENSG00000185115/ENSG00000097046/ENSG00000177383/ENSG00000163322/ENSG00000070770/ENSG00000160957/ENSG00000198690/ENSG00000160949/ENSG00000160803/ENSG00000164754/ENSG00000111875/ENSG00000111877/ENSG00000178966/ENSG00000099385/ENSG00000172732/ENSG00000258366/ENSG00000169139/ENSG00000175854/ENSG00000175595/ENSG00000138658/ENSG00000078487/ENSG00000106635/ENSG00000130997/ENSG00000111642/ENSG00000041880/ENSG00000163875/ENSG00000149948/ENSG00000097007/ENSG00000105229/ENSG00000077463/ENSG00000146263/ENSG00000112118/ENSG00000100811/ENSG00000113812/ENSG00000132016/ENSG00000143799/ENSG00000196584/ENSG00000070423/ENSG00000138346/ENSG00000182185/ENSG00000139579/ENSG00000112941/ENSG00000196367/ENSG00000135999/ENSG00000011485/ENSG00000276043/ENSG00000188486/ENSG00000009413/ENSG00000049618/ENSG00000170364/ENSG00000132436/ENSG00000083093/ENSG00000111247/ENSG00000089280/ENSG00000111602/ENSG00000133884/ENSG00000108561/ENSG00000127616/ENSG00000087206/ENSG00000013573/ENSG00000110987/ENSG00000114026/ENSG00000163605/ENSG00000149311/ENSG00000187736/ENSG00000161956/ENSG00000161010/ENSG00000076242/ENSG00000116560/ENSG00000164256/ENSG00000073111/ENSG00000116670/ENSG00000169621/ENSG00000158019/ENSG00000076003/ENSG00000143624/ENSG00000095002/ENSG00000143442",124
"GO:0048025","negative regulation of mRNA splicing, via spliceosome","17/4660","22/21338",0.772727272727273,3.53829496683574,6.29634077878131,4.76899376560716e-08,4.11325505531778e-05,3.47955269447203e-05,"ENSG00000157540/ENSG00000124193/ENSG00000150459/ENSG00000203867/ENSG00000147274/ENSG00000100813/ENSG00000182872/ENSG00000011304/ENSG00000165119/ENSG00000126254/ENSG00000205937/ENSG00000181163/ENSG00000063244/ENSG00000116350/ENSG00000108561/ENSG00000188529/ENSG00000111786",17
"GO:0010639","negative regulation of organelle organization","136/4660","410/21338",0.331707317073171,1.51887783942217,5.60764923516663,6.14446545380547e-08,4.11325505531778e-05,3.47955269447203e-05,"ENSG00000292334/ENSG00000136111/ENSG00000157540/ENSG00000154839/ENSG00000128342/ENSG00000100014/ENSG00000169100/ENSG00000101144/ENSG00000136108/ENSG00000165480/ENSG00000140464/ENSG00000122952/ENSG00000131725/ENSG00000099910/ENSG00000151491/ENSG00000063761/ENSG00000164109/ENSG00000137090/ENSG00000154473/ENSG00000138594/ENSG00000067798/ENSG00000131941/ENSG00000162600/ENSG00000112029/ENSG00000149557/ENSG00000151729/ENSG00000132376/ENSG00000119401/ENSG00000073050/ENSG00000062650/ENSG00000115266/ENSG00000103274/ENSG00000162063/ENSG00000176720/ENSG00000141646/ENSG00000084112/ENSG00000185324/ENSG00000103194/ENSG00000176171/ENSG00000104067/ENSG00000132475/ENSG00000070182/ENSG00000251322/ENSG00000197321/ENSG00000107104/ENSG00000100628/ENSG00000090432/ENSG00000158828/ENSG00000070366/ENSG00000170855/ENSG00000164754/ENSG00000166780/ENSG00000197256/ENSG00000172757/ENSG00000002822/ENSG00000125746/ENSG00000247596/ENSG00000258366/ENSG00000158856/ENSG00000015133/ENSG00000105270/ENSG00000175595/ENSG00000148180/ENSG00000104880/ENSG00000188763/ENSG00000198836/ENSG00000137812/ENSG00000186166/ENSG00000197694/ENSG00000119636/ENSG00000041880/ENSG00000128881/ENSG00000239306/ENSG00000153310/ENSG00000135486/ENSG00000001084/ENSG00000040633/ENSG00000143452/ENSG00000109265/ENSG00000151475/ENSG00000108395/ENSG00000096092/ENSG00000186994/ENSG00000160460/ENSG00000132170/ENSG00000161681/ENSG00000204371/ENSG00000066032/ENSG00000143799/ENSG00000159753/ENSG00000107854/ENSG00000102879/ENSG00000164741/ENSG00000142208/ENSG00000161888/ENSG00000102977/ENSG00000051825/ENSG00000105186/ENSG00000158106/ENSG00000111490/ENSG00000166503/ENSG00000181163/ENSG00000185345/ENSG00000177602/ENSG00000198898/ENSG00000153147/ENSG00000170364/ENSG00000108828/ENSG00000050405/ENSG00000105887/ENSG00000169230/ENSG00000072274/ENSG00000135372/ENSG00000040275/ENSG00000042493/ENSG00000111554/ENSG00000134057/ENSG00000186868/ENSG00000160551/ENSG00000047849/ENSG00000116489/ENSG00000186635/ENSG00000149311/ENSG00000175662/ENSG00000074054/ENSG00000141298/ENSG00000162643/ENSG00000134982/ENSG00000184292/ENSG00000116670/ENSG00000213699/ENSG00000115306/ENSG00000153187/ENSG00000117724/ENSG00000169641/ENSG00000160789",136
"GO:0050807","regulation of synapse organization","122/4660","359/21338",0.33983286908078,1.55608449794972,5.61672645397444,6.50081373444004e-08,4.11325505531778e-05,3.47955269447203e-05,"ENSG00000152767/ENSG00000101463/ENSG00000141668/ENSG00000126778/ENSG00000100625/ENSG00000165300/ENSG00000165322/ENSG00000170759/ENSG00000154764/ENSG00000179542/ENSG00000107864/ENSG00000150394/ENSG00000136379/ENSG00000137845/ENSG00000151025/ENSG00000154229/ENSG00000176248/ENSG00000157193/ENSG00000120063/ENSG00000150760/ENSG00000146242/ENSG00000080845/ENSG00000186260/ENSG00000172260/ENSG00000136040/ENSG00000158258/ENSG00000124140/ENSG00000169992/ENSG00000286237/ENSG00000198908/ENSG00000115183/ENSG00000244405/ENSG00000182580/ENSG00000267534/ENSG00000241360/ENSG00000067900/ENSG00000158301/ENSG00000131094/ENSG00000137825/ENSG00000166159/ENSG00000251322/ENSG00000157240/ENSG00000119878/ENSG00000185070/ENSG00000107954/ENSG00000004139/ENSG00000069869/ENSG00000197555/ENSG00000101126/ENSG00000196230/ENSG00000254402/ENSG00000148053/ENSG00000186907/ENSG00000176020/ENSG00000172757/ENSG00000083937/ENSG00000177105/ENSG00000108684/ENSG00000123908/ENSG00000132024/ENSG00000174482/ENSG00000108797/ENSG00000151148/ENSG00000104936/ENSG00000165527/ENSG00000067560/ENSG00000124313/ENSG00000111642/ENSG00000273749/ENSG00000091129/ENSG00000097007/ENSG00000213672/ENSG00000175866/ENSG00000116141/ENSG00000162951/ENSG00000066032/ENSG00000156564/ENSG00000070388/ENSG00000130725/ENSG00000186648/ENSG00000168758/ENSG00000173406/ENSG00000165985/ENSG00000204843/ENSG00000133216/ENSG00000142208/ENSG00000198576/ENSG00000181790/ENSG00000181754/ENSG00000188157/ENSG00000186908/ENSG00000072832/ENSG00000167971/ENSG00000170921/ENSG00000168137/ENSG00000058404/ENSG00000069329/ENSG00000121753/ENSG00000102924/ENSG00000159593/ENSG00000173402/ENSG00000110400/ENSG00000173621/ENSG00000105426/ENSG00000090372/ENSG00000084764/ENSG00000110076/ENSG00000277363/ENSG00000176749/ENSG00000079387/ENSG00000110881/ENSG00000196712/ENSG00000111249/ENSG00000157445/ENSG00000157985/ENSG00000055917/ENSG00000107404/ENSG00000171603/ENSG00000138443/ENSG00000118257/ENSG00000130294/ENSG00000070831",122
"GO:0050684","regulation of mRNA processing","60/4660","144/21338",0.416666666666667,1.90790414878398,5.77833123969506,6.71102508671728e-08,4.11325505531778e-05,3.47955269447203e-05,"ENSG00000157540/ENSG00000122692/ENSG00000137776/ENSG00000100650/ENSG00000124193/ENSG00000150459/ENSG00000160633/ENSG00000100461/ENSG00000203867/ENSG00000100603/ENSG00000184343/ENSG00000147274/ENSG00000146457/ENSG00000071626/ENSG00000122965/ENSG00000104967/ENSG00000102081/ENSG00000135829/ENSG00000100813/ENSG00000182872/ENSG00000136450/ENSG00000104852/ENSG00000011304/ENSG00000174720/ENSG00000164548/ENSG00000115053/ENSG00000113391/ENSG00000239306/ENSG00000165119/ENSG00000135486/ENSG00000096063/ENSG00000008128/ENSG00000099622/ENSG00000157110/ENSG00000185650/ENSG00000248333/ENSG00000126254/ENSG00000205937/ENSG00000078328/ENSG00000121774/ENSG00000135250/ENSG00000181163/ENSG00000112531/ENSG00000063244/ENSG00000159409/ENSG00000005007/ENSG00000104824/ENSG00000116350/ENSG00000130254/ENSG00000108561/ENSG00000188529/ENSG00000134057/ENSG00000111786/ENSG00000116001/ENSG00000259956/ENSG00000161547/ENSG00000091542/ENSG00000163166/ENSG00000153187/ENSG00000134371",60
